

LT_1CH
2020-12-02 13:29:40.463459
nodes
5,10,25,50,100,250,500,1000,1400
sent,nrCollisions,nrLost,nrProcessed,nrReceived
15.0,0.0,0.0,15.0,15.0
30.0,2.0,0.0,30.0,28.0
75.0,19.0,0.0,75.0,56.0
150.0,45.0,5.0,145.0,100.0
300.0,168.0,11.0,289.0,121.0
750.0,612.0,13.0,737.0,125.0
1500.0,1401.0,28.0,1391.0,70.0
3000.0,2919.0,41.0,2050.0,34.0
4200.0,4094.0,73.0,2229.0,27.0

LT_3CH
2020-12-02 13:31:52.875486
nodes
5,10,25,50,100,250,500,1000,1400
sent,nrCollisions,nrLost,nrProcessed,nrReceived
15.0,0.0,0.0,15.0,15.0
30.0,2.0,0.0,30.0,28.0
75.0,6.0,0.0,75.0,69.0
150.0,22.0,5.0,145.0,123.0
300.0,72.0,4.0,296.0,224.0
750.0,399.0,15.0,734.0,336.0
1500.0,1116.0,34.0,1398.0,342.0
3000.0,2690.0,50.0,2033.0,199.0
4200.0,3893.0,81.0,2244.0,166.0
