

EB2_1CH
2020-11-29 11:47:56.609058
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,1.0,nan,nan,1497.0
3000.0,64.0,nan,nan,2901.0
4200.0,286.0,nan,nan,3783.0
6000.0,1239.0,nan,nan,4232.0
7500.0,2943.0,nan,nan,3654.0
9000.0,5201.0,nan,nan,2766.0
10500.0,7703.0,nan,nan,1827.0
12000.0,10176.0,nan,nan,1080.0
13500.0,12417.0,nan,nan,569.0
15000.0,14386.0,nan,nan,303.0
18000.0,17776.0,nan,nan,96.0

EB2_3CH
2020-11-29 11:49:06.576134
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,0.0,nan,nan,1500.0
3000.0,3.0,nan,nan,2995.0
4200.0,3.0,nan,nan,4195.0
6000.0,34.0,nan,nan,5948.0
7500.0,100.0,nan,nan,7355.0
9000.0,188.0,nan,nan,8702.0
10500.0,436.0,nan,nan,9896.0
12000.0,781.0,nan,nan,10864.0
13500.0,1170.0,nan,nan,11784.0
15000.0,1753.0,nan,nan,12423.0
18000.0,3686.0,nan,nan,12753.0
