

ER_1CH
2020-11-30 10:00:27.991119
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,1.0,nan,nan,1499.0
3000.0,28.0,nan,nan,2965.0
4200.0,87.0,nan,nan,4094.0
6000.0,230.0,nan,nan,5708.0
7500.0,510.0,nan,nan,6793.0
9000.0,962.0,nan,nan,7730.0
10500.0,1596.0,nan,nan,8412.0
12000.0,2524.0,nan,nan,8806.0
13500.0,3520.0,nan,nan,9096.0
15000.0,4533.0,nan,nan,9399.0
18000.0,7144.0,nan,nan,9395.0

ER_3CH
2020-11-30 10:01:50.058054
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,0.0,nan,nan,1500.0
3000.0,0.0,nan,nan,3000.0
4200.0,8.0,nan,nan,4191.0
6000.0,19.0,nan,nan,5975.0
7500.0,30.0,nan,nan,7463.0
9000.0,70.0,nan,nan,8920.0
10500.0,112.0,nan,nan,10367.0
12000.0,188.0,nan,nan,11775.0
13500.0,280.0,nan,nan,13157.0
15000.0,404.0,nan,nan,14512.0
18000.0,717.0,nan,nan,17103.0
