

ET_1CH
2020-11-30 10:28:19.044235
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,9.0,nan,nan,1489.0
3000.0,116.0,nan,nan,2854.0
4200.0,320.0,nan,nan,3762.0
6000.0,1113.0,nan,nan,4467.0
7500.0,2447.0,nan,nan,4299.0
9000.0,4223.0,nan,nan,3770.0
10500.0,6131.0,nan,nan,3134.0
12000.0,8260.0,nan,nan,2400.0
13500.0,10384.0,nan,nan,1797.0
15000.0,12364.0,nan,nan,1351.0
18000.0,16385.0,nan,nan,640.0

ET_3CH
2020-11-30 13:31:45.958909
nodes
5,10,25,50,100,250,500,1000,1400,2000,2500,3000,3500,4000,4500,5000,6000
sent,nrCollFullPacket,None,None,nrReceived
15.0,0.0,nan,nan,15.0
30.0,0.0,nan,nan,30.0
75.0,0.0,nan,nan,75.0
150.0,0.0,nan,nan,150.0
300.0,0.0,nan,nan,300.0
750.0,0.0,nan,nan,750.0
1500.0,2.0,nan,nan,1498.0
3000.0,6.0,nan,nan,2994.0
4200.0,32.0,nan,nan,4164.0
6000.0,86.0,nan,nan,5884.0
7500.0,166.0,nan,nan,7275.0
9000.0,314.0,nan,nan,8605.0
10500.0,517.0,nan,nan,9835.0
12000.0,792.0,nan,nan,10906.0
13500.0,1221.0,nan,nan,11831.0
15000.0,1699.0,nan,nan,12641.0
18000.0,3378.0,nan,nan,13345.0
